ID,Name,Sex,Age,Team,NOC,Year,Season,Sport,Event,Medal
119930,Kemel Oneil Thompson,M,25,Jamaica,JAM,2000,Summer,Athletics,Men's 400 metres Hurdles,N
64121,Stefn Kristjnsson,M,27,Iceland,ISL,1952,Winter,Alpine Skiing,Men's Giant Slalom,N
1838,Hussain Misfor Al-Bishi,M,23,Saudi Arabia,KSA,1984,Summer,Football,Men's Football,N
130287,Ulla-Britt Wieslander (-Rosberg),F,18,Sweden,SWE,1960,Summer,Athletics,Women's 200 metres,N
95749,Firouz Pojhan,M,30,Iran,IRI,1956,Summer,Weightlifting,Men's Heavyweight,N
101189,Jorge Rizo Pereda,M,23,Cuba,CUB,1976,Summer,Water Polo,Men's Water Polo,N
19499,Cha Kum-Choi,M,21,North Korea,PRK,2008,Summer,Weightlifting,Men's Bantamweight,N
60972,"Bartoomiej ""Bartosz"" Kizierowski",M,23,Poland,POL,2000,Summer,Swimming,Men's 100 metres Freestyle,N
63178,Natalia Kot (-Wala),F,18,Poland,POL,1956,Summer,Gymnastics,Women's Balance Beam,N
88243,Oh Yeong-Ran,F,23,South Korea,KOR,1996,Summer,Handball,Women's Handball,Silver
40758,Kirsten Joke Hermine Gleis,F,23,Netherlands,NED,1992,Summer,Volleyball,Women's Volleyball,N
72923,Oldich Macha,M,25,Czech Republic,TCH,1972,Winter,Ice Hockey,Men's Ice Hockey,Bronze
43583,Lisandra Guerra Rodriguez,F,28,Cuba,CUB,2016,Summer,Cycling,Women's Keirin,N
31875,Elif Eki,F,25,Turkey,TUR,1992,Summer,Archery,Women's Individual,N
111939,Michal lesingr,M,27,Czech Republic,CZE,2010,Winter,Biathlon,Men's 15 kilometres Mass Start,N
52487,Toshiyasu Ishige,M,44,Japan,JPN,1976,Summer,Shooting,Mixed Trap,N
26542,Gino de Pellegrn,M,21,Argentina,ARG,1948,Winter,Alpine Skiing,Men's Combined,N
116615,Luc Suplis,M,24,Belgium,BEL,1988,Summer,Judo,Men's Middleweight,N
37924,Jacques Gaillard,M,21,France,FRA,1972,Winter,Nordic Combined,Men's Individual,N
129699,Gladys Maxine Werner (-Walker),F,22,USA,USA,1956,Winter,Alpine Skiing,Women's Giant Slalom,N
35618,Frdric Fitting,M,24,Switzerland,SUI,1924,Summer,Fencing,"Men's epee, Individual",N
70064,Bengt Fredrik Lindberg,M,24,Sweden,SWE,2010,Winter,Curling,Men's Curling,N
62494,Ford Hiroshi Konno,M,19,USA,USA,1952,Summer,Swimming,"Men's 1,500 metres Freestyle",Gold
123523,Storm Uru,M,27,New Zealand,NZL,2012,Summer,Rowing,Men's Lightweight Double Sculls,Bronze
100979,Alina Rpanu,F,22,Romania,ROU,2004,Summer,Athletics,Women's 4 x 400 metres Relay,N
10339,Bence Bres,M,21,Hungary,HUN,2014,Winter,Short Track Speed Skating,"Men's 1,000 metres",N
24911,Dai Jun,M,20,China,CHN,2012,Summer,Swimming,"Men's 1,500 metres Freestyle",N
37192,Hans Friedrich,M,24,Austria,AUT,1948,Summer,Gymnastics,Men's Parallel Bars,N
36247,Hugh Forde,M,24,UK,GBR,1960,Summer,Football,Men's Football,N
91939,Giovana Prado Pass,F,18,Brazil,BRA,2016,Summer,Equestrianism,"Mixed Dressage, Individual",N
109662,Kyle Keith Shewfelt,M,22,Canada,CAN,2004,Summer,Gymnastics,Men's Rings,N
16416,Carmen Bunaciu,F,18,Romania,ROU,1980,Summer,Swimming,Women's 4 x 100 metres Medley Relay,N
66959,Jason George Laslett,M,27,UK,GBR,1996,Summer,Hockey,Men's Hockey,N
22706,"Richard Carroll ""Dick"" Connor",M,22,USA,USA,1956,Summer,Diving,Men's Platform,Bronze
116452,Yury Sumtsov,M,20,Russia,URS,1964,Summer,Swimming,Men's 4 x 100 metres Freestyle Relay,N
102686,"Donald Francis ""Don"" Ross",M,21,USA,USA,1964,Winter,Ice Hockey,Men's Ice Hockey,N
62284,Vitaliy Oleksiyovych Kolpakov,M,24,Ukraine,UKR,1996,Summer,Athletics,Men's Decathlon,N
21734,Rolf Gran Claeson,M,26,Sweden,SWE,1972,Winter,Speed Skating,"Men's 5,000 metres",N
45454,Han Jingna,F,21,China,CHN,1996,Summer,Badminton,Women's Singles,N
